m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
756463.3275546291,7564.633275546291,100.0,0.12403421398562192,4.8655843582191475e7,4.2562962790811623e-11,1.3725448848032986e-18,14.293796217936675,1.2348581655393565,1.2196796731459646e-12,0.9999222662774034,0.00041560026849685747
869749.0026177835,8697.490026177835,100.0,0.12403421398562192,4.291306674268952e7,4.880558421955843e-11,1.77444919590235e-18,14.197576199603313,1.4294090138415299,1.3962667393913006e-12,0.9998945548275133,0.0006177416134172942
1.0e6,10000.0,100.0,0.12403421398562192,3.784810131082681e7,5.596272426110049e-11,2.2940158667768955e-18,14.101408920846838,1.6546809942401193,1.5984353469978721e-12,0.999857165904813,0.0009181835898941166
1.1497569953977356e6,11497.569953977356,100.0,0.12403421398562192,3.338094621444506e7,6.416818518999151e-11,2.9656852261865498e-18,14.005295015056141,1.9155371734123816,1.8298934996911127e-12,0.999806700798477,0.0013647160624184718
1.3219411484660287e6,13219.411484660288,100.0,0.12403421398562192,2.9441042788926415e7,7.357531835306451e-11,3.833976372452647e-18,13.909235126713046,2.217612484310381,2.0948869638931556e-12,0.9997385548598605,0.002028351137864765
1.5199110829529332e6,15199.11082952933,100.0,0.12403421398562192,2.5966160303877585e7,8.4359875949973e-11,4.956436028433645e-18,13.813229911645273,2.5674365924851466,2.3982773002528978e-12,0.9996465124447962,0.0030145971755079154
1.747528400007683e6,17475.28400007683,100.0,0.12403421398562192,2.2901413029441632e7,9.672327810737632e-11,6.407449976987398e-18,13.717280037286512,2.972576382198871,2.74563122363465e-12,0.9995221730595515,0.004480196322866878
2.0092330025650458e6,20092.33002565046,100.0,0.12403421398562192,2.019839331681081e7,1.1089635560699522e-10,8.28316933217296e-18,13.621386182943679,3.441801206098163,3.1433229370181952e-12,0.9993541811773147,0.006657963688889445
2.310129700083158e6,23101.29700083158,100.0,0.12403421398562192,1.7814406999956824e7,1.2714363738084138e-10,1.0707877652535104e-17,13.525549040071821,3.985274547863194,3.5986513238784063e-12,0.9991271764842546,0.009893630388092553
2.656087782946684e6,26560.87782946684,100.0,0.12403421398562192,1.5711799041757574e7,1.457682619067703e-10,1.3842220210359035e-17,13.429769312556656,4.614776334552756,4.119974157491717e-12,0.9988204100238002,0.01470045348148884
3.0538555088334125e6,30538.555088334124,100.0,0.12403421398562192,1.3857358773108337e7,1.6711760310614268e-10,1.7893839893570118e-17,13.334047717005284,5.3439608175821,4.716861799316038e-12,0.9984058859403913,0.021840084300028942
3.5111917342151348e6,35111.91734215135,100.0,0.12403421398562192,1.2221795330775917e7,1.915897144709487e-10,2.3131123373666504e-17,13.23838498304507,6.18865573380852,5.4002732179033225e-12,0.997845840271017,0.03244216788333485
